Wikipathway URL ,Wikipathway ID ,Guiding Term ,URI ,PMID 
https://pfocr.wikipathways.org/figures/PMC6943888__40035_2019_179_Fig1_HTML.html ,WP5372 ,Neurodegenerative disease ,MONDO:0005559 ,31911834 
https://pfocr.wikipathways.org/figures/PMC6365454__fnins-13-00025-g0002.html ,WP5283 ,Neuron function ,,30766472 
https://pfocr.wikipathways.org/figures/PMC6218675__fphys-09-01533-g0001.html ,WP4535 ,EDMD physiopathology ,MONDO:0016830 ,30425656 
https://pfocr.wikipathways.org/figures/PMC6143874__etm-16-04-3275-g02.html ,WP5358 ,Diabetes  or beta cells?,MONDO:0005015 ,30233674 
,,,,
https://pfocr.wikipathways.org/figures/PMC6143874__etm-16-04-3275-g01.html ,WP5385 ,SAME ,,30233674 
https://pfocr.wikipathways.org/figures/PMC6121065__fncel-12-00273-g0001.html ,WP4829 ,γ-aminobutyric acid (GABA) neurotransmission ,GO:0061534 ,30210299 
https://pfocr.wikipathways.org/figures/PMC6115613__fnmol-11-00244-g004.html ,WP4564 ,Cell migration ,GO:0016477 ,30190671 
https://pfocr.wikipathways.org/figures/PMC6115613__fnmol-11-00244-g003.html ,WP4565 ,Cell migration ,GO:0016477 ,30190671 
,,,,
https://pfocr.wikipathways.org/figures/PMC6103457__BST-46-967-g0001.html ,WP4532 ,Dynein transport ,,30065109 
,,,,
https://pfocr.wikipathways.org/figures/PMC6087706__40169_2018_202_Fig2_HTML.html ,WP4534 ,YAP/TAZ regulation ,,30101371 
,,,,
https://pfocr.wikipathways.org/figures/PMC6085908__BRB3-8-e00978-g001.html ,WP4539 ,autism ,,29934975 
https://pfocr.wikipathways.org/figures/PMC6027339__biomedicines-06-00038-g005.html ,WP4562 ,NF-κB activation ,,29587428 
,,,,
https://pfocr.wikipathways.org/figures/PMC5992185__41392_2018_15_Fig4_HTML.html ,WP4533,,,29892481 
https://pfocr.wikipathways.org/figures/PMC5923349__cancers-10-00094-g004.html ,WP4542,,,29597279 
https://pfocr.wikipathways.org/figures/PMC5923345__cancers-10-00090-g002.html ,WP4540,,,29565815 
https://pfocr.wikipathways.org/figures/PMC5923345__cancers-10-00090-g001.html ,WP4541,,,29565815 
https://pfocr.wikipathways.org/figures/PMC5883377__CN-16-151_F1B.html ,WP4760,,,28554312 
https://pfocr.wikipathways.org/figures/PMC5867295__fbioe-06-00018-g005.html ,WP5373,,,29616218 
https://pfocr.wikipathways.org/figures/PMC5854428__ppat.1006839.g001.html ,WP4538,,,29543893 
https://pfocr.wikipathways.org/figures/PMC5833345__41419_2017_66_Fig7_HTML.html ,WP4553,,,29352142 
https://pfocr.wikipathways.org/figures/PMC5819904__IJMM-41-03-1201-g03.html ,WP5382,,,29286147 
https://pfocr.wikipathways.org/figures/PMC5452883__ol-13-06-4047-g00.html ,WP5368,,,28588698 
https://pfocr.wikipathways.org/figures/PMC3514635__gr4.html ,WP4856,,,22465036 
https://pfocr.wikipathways.org/figures/PMC5822808__JIR2018-3696914.001.html,WP4537,,,29577047